;id;Name;Main Story;Main + Extras;Completionist;All Styles;Platforms;Genre;Developer;Publisher;NA;EU;JP
0;36446.0; Walker (Atari 2600) ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
1;36447.0; Wall Ball (1983) ;-- ;-- ;-- ;-- ;   Atari 2600 ;   Action ;NAN;   Avalon Hill ; 1983 ;NAN;NAN
2;36448.0; Wall Break ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
3;36449.0; War 2000 ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
4;36450.0; Warplock ;-- ;-- ;-- ;-- ;NAN;NAN;   Data Age ;   Data Age ; 1982 ;NAN;NAN
5;36451.0; Wing War (1983) ;-- ;-- ;-- ;-- ;   Atari 2600 ;   Action ;   Imagic ;   Imagic ; 1983 ;NAN;NAN
6;36452.0; World End ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
7;36453.0; Worm War I ;30 Mins ;-- ;-- ;30 Mins ;   Atari 2600 ;   Shooter ;   20th Century Fox Games ;   20th Century Fox Games ; 1982 ;NAN;NAN
8;36454.0; X'Mission ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
9;36455.0; Z-Tack ;-- ;-- ;-- ;-- ;   Atari 2600 ;NAN;   Bomb ;   Bomb ; 1983 ;NAN;NAN
10;36457.0; Zombies on a Plane ;47 Mins ;-- ;-- ;47 Mins ;   PC ;NAN;   Shangri-La Game Studios ;   Shangri-La Game Studios ;March 25, 2016 ;NAN;NAN
11;36460.0; Pussy Destroyer 5000 ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
12;36462.0; ASCII Attack ;-- ;-- ;-- ;-- ;   PC ;   Action ;   Daisy Maze Games ;   Daisy Maze Games ;March 17, 2016 ;NAN;NAN
13;36463.0; Caravanserail ;40 Mins ;1 Hours ;2 Hours ;1½ Hours ;   PC ;   Simulation ;   Jerome Bodin ;   Jerome Bodin ;February 26, 2016 ;NAN;NAN
14;36464.0; Football Manager Live ;-- ;-- ;-- ;NAN;   PC ;NAN;   Sports Interactive ;   Sega ;November 04, 2008 ;NAN;NAN
15;36467.0; Season of 12 Colors ;1½ Hours ;-- ;3 Hours ;2½ Hours ;   PC ;   Visual Novel ;   橘子班 ;   NVLMaker ;March 14, 2016 ;NAN;NAN
16;36469.0; Out of the Park Baseball 17 ;-- ;-- ;NAN;NAN;   PC ;NAN;   Out of the Park Developments ;   Out of the Park Developments ;March 22, 2016 ;March 22, 2016 ;NAN
17;36470.0; DreadOut: Keepers of The Dark ;3½ Hours ;4½ Hours ;5 Hours ;4½ Hours ;   PC ;   Adventure ;   Digital Happiness ;   Digital Happiness ;March 24, 2016 ;March 24, 2016 ;NAN
18;36477.0; X Rebirth: Home of Light ;-- ;-- ;-- ;-- ;   PC ;   Simulation ;   Egosoft ;   Egosoft ;February 25, 2016 ;NAN;NAN
19;36481.0; Scramble Spirits ;35 Mins ;-- ;-- ;35 Mins ;   Arcade ;NAN;   Sega ;   Sega ; 1988 ;NAN;NAN
20;36483.0; Act-Fancer ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
21;36484.0; Dragon Saber ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;   Namco ;NAN;NAN;December 10, 1990 
22;36485.0; Atelier Eli: The Alchemist of Salburg 2 ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
23;36486.0; Johnny Bravo in the Hukka-Mega-Mighty-Ultra-Extreme Date-O-Rama! ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
24;36489.0; Rise of the Tomb Raider - Cold Darkness Awakened ;1 Hours ;1 Hours ;2½ Hours ;1½ Hours ;   PC, PlayStation 4, Xbox One ;NAN;   Crystal Dynamics ;   Square Enix ;March 29, 2016 ;March 29, 2016 ;NAN
25;36490.0; Avalance 2: Super Avalanche ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
26;36491.0; Threshold (1982) ;-- ;-- ;-- ;-- ;   Atari 2600 ;NAN;   Tigervision ;   Tigervision ; 1982 ;NAN;NAN
27;36493.0; Magical Eyes: Red is for Anguish ;-- ;10 Hours ;10½ Hours ;10½ Hours ;   PC ;   Visual Novel ;   Pomera StudiosW ;   Fruitbat Factory ;March 30, 2016 ;NAN;NAN
28;36495.0; Huniecam Studio ;2 Hours ;5½ Hours ;16½ Hours ;7½ Hours ;   PC ;NAN;   HuniePot ;   HuniePot ;April 04, 2016 ;April 04, 2016 ;NAN
29;36496.0; Lucky's Tale ;5 Hours ;5 Hours ;-- ;5 Hours ;   PC, PC VR ;NAN;   Playful Corp. ;   Playful Corp. ;March 28, 2016 ;March 28, 2016 ;NAN
30;36497.0; Farlands ;-- ;-- ;-- ;-- ;NAN;NAN;   Oculus ;   Oculus ;March 28, 2016 ;NAN;NAN
31;36498.0; Eve: Valkyrie ;15 Mins ;NAN;NAN;NAN;   PlayStation 4, PlayStation VR ;   Flight Combat ;   CCP Games ;   CCP Games ;March 28, 2016 ;NAN;NAN
32;36499.0; Under Zero ;-- ;-- ;3 Hours ;3 Hours ;   PC ;NAN;   Obidak Software ;   Dagestan Technology ;March 25, 2016 ;NAN;NAN
33;36500.0; Flight of the Intruder ;-- ;-- ;-- ;-- ;NAN;NAN;   Imagineering ;   Mindscape ;May 1991 ;NAN;NAN
34;36502.0; Arcshu: Kagerou no Jidai o Koete ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
35;36503.0; Irozuki Tincle no Koi no Balloon Trip ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
36;36504.0; Flobe ;-- ;-- ;-- ;-- ;   PC ;   Strategy ;NAN;   Forever Humble PDX ;January 23, 2016 ;NAN;NAN
37;36505.0; Paper Train: Traffic ;-- ;-- ;16 Hours ;16 Hours ;   PC ;   Simulation ;   isTom Games ;   isTom Games ;March 04, 2016 ;NAN;NAN
38;36506.0; Spellblast ;-- ;-- ;-- ;-- ;   PC ;   Action ;   Tonal Recall Games ;   Forever Humble PDX ;February 22, 2016 ;NAN;NAN
39;36507.0; No Man's Land ;-- ;-- ;-- ;-- ;   PC ;NAN;   Related Designs ;   CDV Software Entertainment ;August 31, 2003 ;NAN;NAN
40;36508.0; Meitantei Conan & Kindaichi Shounen no Jikenbo: Meguriau Futari no Meitantei ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
41;36510.0; The Secrets of Da Vinci ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
42;36511.0; Journey of the Prarie King ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
43;36512.0; Realities ;-- ;-- ;-- ;-- ;   PC ;   Virtual Reality ;   realities.io ;   realities.io ;April 05, 2016 ;NAN;NAN
44;36513.0; Skeet: VR Target Shooting ;-- ;-- ;-- ;-- ;   PC ;NAN;   Flatbox Studios ;   Flatbox Studios ;April 05, 2016 ;NAN;NAN
45;36514.0; Abbot's Book Demo ;-- ;-- ;-- ;-- ;   PC ;NAN;NAN;NAN;NAN;NAN;NAN
46;36515.0; Take the Dream IX ;3 Hours ;-- ;-- ;3 Hours ;   PC ;   Adventure ;   Yai Gameworks ;   Yai Gameworks ;April 01, 2016 ;NAN;NAN
47;36516.0; Origin of Destiny ;-- ;-- ;-- ;-- ;   PC ;   Role-Playing ;   Michael Howard ;NAN;April 01, 2016 ;NAN;NAN
48;36517.0; Altspace VR ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
49;36518.0; Catch a Falling Star ;35 Mins ;3½ Hours ;6 Hours ;3½ Hours ;   PC ;   Interactive Art ;   Alister Software ;   Back To Basics Gaming ;March 30, 2016 ;March 30, 2016 ;NAN
50;36519.0; Steno Arcade ;-- ;NAN;NAN;NAN;   PC ;   Compilation ;   For All To Play ;   For All To Play ;March 30, 2016 ;NAN;NAN
51;36520.0; Spell Fighter ;-- ;-- ;-- ;-- ;   PC ;NAN;   Kubold ;   Kubold ;March 01, 2016 ;NAN;NAN
52;36521.0; Heroes of the West ;-- ;NAN;NAN;NAN;   PC ;NAN;NAN;   Tripwire Interactive ;March 23, 2016 ;NAN;NAN
53;36522.0; Jesus Christ RPG Trilogy ;1 Hours - 6 Hours ;NAN;NAN;NAN;   PC ;   Role-Playing ;   Wholetone Games ;   Wholetone Games ;March 18, 2016 ;NAN;NAN
54;36523.0; Nubla ;57 Mins ;1 Hours ;1 Hours ;1 Hours ;   PlayStation 4 ;NAN;   Gammera Nest ;NAN;December 06, 2016 ;NAN;NAN
55;36524.0; Unknown Battle ;3 Hours ;-- ;9½ Hours ;6½ Hours ;   PC ;NAN;   Nikolai Patrakov ;   Nikolai Patrakov ;March 14, 2016 ;NAN;NAN
56;36525.0; Faron's Fate ;-- ;1½ Hours ;-- ;1½ Hours ;   PC ;NAN;   Winter Drake Teller ;   Winter Drake Teller ;August 14, 2015 ;NAN;NAN
57;36526.0; Mini Mario & Friends amiibo Challenge ;1½ Hours ;5 Hours ;11½ Hours ;4½ Hours ;   Nintendo 3DS, Wii U ;NAN;   Nintendo ;   Nintendo ;April 27, 2016 ;April 28, 2016 ;January 28, 2016 
58;36527.0; 1979 Revolution: Black Friday ;2 Hours ;3 Hours ;5 Hours ;2½ Hours ;   Mobile, PC, Nintendo Switch, PlayStation 4, Xbox One ;   Adventure ;NAN;   iNK Stories ;April 04, 2016 ;NAN;NAN
59;36528.0; Until I Have You ;4 Hours ;4½ Hours ;-- ;4½ Hours ;   PC ;   Platform ;   Wormwood Studios ;   Digital Tribe ;April 04, 2016 ;NAN;NAN
60;36529.0; Bounce Rescue! ;-- ;-- ;-- ;-- ;   PC ;   Platform ;   Bitecore ;   Bitecore ;February 01, 2018 ;February 01, 2018 ;NAN
61;36530.0; Green Game: Timeswapper ;2 Hours ;-- ;6 Hours ;4 Hours ;   Nintendo Switch, PC, PlayStation Vita ;   Platform ;   iFun4all ;   iFun4all ;April 04, 2016 ;NAN;NAN
62;36531.0; The Beast of Lycan Isle - Collector's Edition ;-- ;-- ;-- ;-- ;   PC ;NAN;NAN;NAN;NAN;NAN;NAN
63;36532.0; toy story activity centre ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
64;36533.0; Battlecruiser Millennium Gold ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
65;36534.0; Surgeon Simulator VR: Meet the Medic ;25 Mins ;2½ Hours ;-- ;36 Mins ;   PC, PC VR ;   Simulation ;   Bossa Studios ;   Bossa Studios ;April 05, 2016 ;April 05, 2016 ;NAN
66;36535.0; The Lab ;1 Hours ;2 Hours ;2½ Hours ;1½ Hours ;   PC, PC VR ;   Virtual Reality ;   Valve ;   Valve ;April 05, 2016 ;April 05, 2016 ;NAN
67;36537.0; Senran Kagura: Estival Versus - Dual Blooming Hearts DLC ;2 Hours ;-- ;-- ;2 Hours ;   PlayStation 4 ;NAN;   Marvelous ;   Xseed Games ;March 29, 2016 ;NAN;NAN
68;36538.0; R.B.I. Baseball 2016 ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
69;36540.0; Wolcen: Lords of Mayhem ;15½ Hours ;26½ Hours ;45½ Hours ;19 Hours ;   PC ;NAN;   WOLCEN Studio ;   WOLCEN Studio ;March 24, 2016 ;NAN;NAN
70;36541.0; Machine Gun Train Run ;-- ;-- ;-- ;-- ;   PC ;   Action ;   Party Robot Studio ;   Black Shell Media ;February 26, 2016 ;NAN;NAN
71;36543.0; Exist Archive: The Other Side of the Sky ;36 Hours ;52 Hours ;81½ Hours ;44½ Hours ;   PlayStation 4, PlayStation Vita ;NAN;NAN;   Aksys Games ;October 18, 2016 ;October 18, 2016 ;December 17, 2015 
72;36544.0; Hero and Daughter+ ;8½ Hours ;-- ;-- ;8½ Hours ;   PC ;   Role-Playing ;   Tachi ;   Degica ;February 18, 2016 ;NAN;NAN
73;36545.0; Job Simulator ;2½ Hours ;3 Hours ;4 Hours ;3½ Hours ;   Oculus Quest, PC, PC VR, PlayStation 4, PlayStation VR ;NAN;   Owlchemy Labs ;   Owlchemy Labs ;April 05, 2016 ;April 05, 2016 ;December 15, 2016 
74;36546.0; Professor Teaches QuickBooks 2015 ;-- ;-- ;-- ;-- ;   PC ;NAN;NAN;NAN;NAN;NAN;NAN
75;36548.0; Anonymous Notes Chapter 4 - From The Abyss ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
